order_id;user_id;merchant_id;Booking_state_simple;Time_Order;trading_value;city_id;taxi_type_id;basket_size;GMV;commission_from_merchant
5373794598;16079061;AWgRzBk8Uxnp0OW7KQeF;COMPLETED;04/01/2022 09:20;73113;9;1510;236300;256300;15037
4874986701;29719870;AWgRy6_wU0GQ11lNf7tq;CANCELLED_DRIVER;04/01/2022 09:20;162883;9;1510;226300;246300;14401
7701922235;16395054;AWgOWOWpU0GQ11lN-DEI;COMPLETED;04/01/2022 09:25;50158;9;1510;314300;334300;20001
6791003728;84581531;AWgOV0Nz5b9pQDOtORmY;UNALLOCATED;04/01/2022 09:34;205528;9;1510;167300;187300;10646
4611885707;57628277;5-C2JKJRBBVJXYJJ;UNALLOCATED;04/01/2022 09:46;164813;9;1510;186300;206300;11855
4585414253;17433986;AWgRzZgMLieWGVhxlBKG;COMPLETED;04/01/2022 09:47;1434770;9;1510;236600;256600;15056
2431411054;78299912;AWgOV0Nz5b9pQDOtORmY;UNALLOCATED;04/01/2022 09:56;447349;9;1510;146300;166300;9310
2041405619;78364882;AWgRzBk8Uxnp0OW7KQeF;COMPLETED;04/01/2022 09:57;150512;9;1510;250300;270300;15928
8863346816;57422427;AWgRzWL25b9pQDOtz9o3;CANCELLED_DRIVER;04/01/2022 10:06;37404;9;1510;97300;117300;6192
8032055994;64432110;AWgRzZgMLieWGVhxlBKG;COMPLETED;04/01/2022 10:11;330480;9;1510;260300;280300;16565
5108231527;57431439;AWgRzZgMLieWGVhxlBKG;CANCELLED_DRIVER;04/01/2022 10:27;114895;9;1510;138000;158000;8782
5813193547;50770031;5-C2JKJRBBUEJYPE;UNALLOCATED;04/01/2022 10:37;295540;14;3490;189000;209000;12027
8956535237;57422427;AWgRzS9hU0GQ11lNgJd2;COMPLETED;04/01/2022 10:37;48720;9;1510;97300;117300;6192
7462836382;91311000;AWgOV0Nz5b9pQDOtORmY;COMPLETED;04/01/2022 11:18;190546;9;1510;543600;563600;34593
1966151502;16079061;AWgOWebAUxnp0OW73jIu;UNALLOCATED;04/01/2022 11:21;66005;9;1510;89000;109000;5664
1527175151;24448833;AWgOWEibU0GQ11lN99Fr;COMPLETED;04/01/2022 13:04;9522305;9;1510;146300;166300;9310
8959125694;47043856;5-C2JKJRBCGB3AT6;UNALLOCATED;04/01/2022 13:50;19506;14;3490;259000;279000;16482
4641284986;32336546;AWgOWHzCUxnp0OW73cEg;UNALLOCATED;05/01/2022 09:20;147731;9;1510;181300;201300;11537
3712142360;89284768;AWgRzx9gUxnp0OW7Kdck;CANCELLED_DRIVER;05/01/2022 09:28;2090981;9;1510;146300;166300;9310
6012710192;29719870;5-C2JKJRBCGBNWLN;COMPLETED;05/01/2022 09:34;60202;14;3490;168000;188000;10691
4276633137;78434551;AWgRzE-pU0GQ11lNgBZV;UNALLOCATED;05/01/2022 11:19;104467;9;1510;166300;186300;10583
3579256937;80678125;AWgRzZgMLieWGVhxlBKG;CANCELLED_DRIVER;05/01/2022 13:01;82080;9;1510;192300;212300;12237
5469611648;37790412;AWgRzx9gUxnp0OW7Kdck;UNALLOCATED;05/01/2022 13:03;197770;9;1510;215300;235300;13701
1806572213;29719870;AWgOV6m66sn1d-vrP_Zw;UNALLOCATED;05/01/2022 13:16;616314;9;1510;181300;201300;11537
7664524042;17714298;5-C2JKJRBBVX3KME;COMPLETED;05/01/2022 13:25;342440;9;1510;129000;149000;8209
3591474092;57628277;AWgRy6_wU0GQ11lNf7tq;COMPLETED;05/01/2022 13:30;127918;9;1510;229000;249000;14573
8099283368;31493375;AWgRzZgMLieWGVhxlBKG;UNALLOCATED;05/01/2022 13:51;90675;9;1510;158300;178300;10074
1212136672;57422427;AWgRzx9gUxnp0OW7Kdck;CANCELLED_DRIVER;05/01/2022 14:01;66970;9;1510;97300;117300;6192
1304946456;78820081;AWgRzuVTLieWGVhxlMZb;CANCELLED_DRIVER;05/01/2022 14:04;168795;9;1510;128300;148300;8165
8903262892;16747073;VNGFVN000000yg;CANCELLED_DRIVER;06/01/2022 09:15;136083;9;1510;206000;253000;31836
2418922915;48530705;AWgOWhxjLieWGVhxAnSX;CANCELLED_DRIVER;06/01/2022 09:25;267878;9;1510;250300;270300;15928
1387189703;78299912;AWgOWLAJU0GQ11lN-BEV;UNALLOCATED;06/01/2022 09:35;1058629;9;1510;117300;137300;7465
9674687927;57628277;5-C2JKJRBBUEJYPE;CANCELLED_DRIVER;06/01/2022 09:47;185635;14;3490;259000;279000;16482
1622111215;48530705;AWgRy-P-nMVKL6mzneUU;CANCELLED_DRIVER;06/01/2022 09:56;102494;9;1510;167300;187300;10646
4368777842;32336546;AWgRzS9hU0GQ11lNgJd2;COMPLETED;06/01/2022 09:59;66912;9;1510;203000;223000;12918
4065085499;50770031;5-CY4EA4ECN8EDE6;COMPLETED;06/01/2022 10:17;77936;9;1510;240000;257000;37800
3982201395;42845952;AWgRy-P-nMVKL6mzneUU;COMPLETED;06/01/2022 10:18;34690;9;1510;201300;221300;12810
4773432417;83005883;5-C2JKJRBBVJXYJJ;COMPLETED;06/01/2022 10:24;145954;9;1510;187300;207300;11919
8374182566;29719870;5-C2CYCEEZJ74EFA;COMPLETED;06/01/2022 10:32;1103005;83;4501;91000;115000;11918
1273010110;57422427;AWgRy3ponMVKL6mzncsG;UNALLOCATED;06/01/2022 10:49;47676;9;1510;89000;109000;5664
4221450745;80678125;AWgRzx9gUxnp0OW7Kdck;UNALLOCATED;06/01/2022 13:11;79217;9;1510;128300;148300;8165
4836131692;64432110;5-C2JKJRBBTU6TV2;COMPLETED;06/01/2022 13:25;143311;9;1510;148000;168000;9418
5246142427;84581531;AWgOWEibU0GQ11lN99Fr;COMPLETED;06/01/2022 13:25;564011;9;1510;69000;89000;4391
9211179185;29719870;5-C2JKJRBCGPKBL6;COMPLETED;06/01/2022 13:59;152587;9;1510;181300;201300;11537
3395288465;32336546;AWgOWEibU0GQ11lN99Fr;UNALLOCATED;06/01/2022 14:29;135920;9;1510;158000;178000;10055
3404006403;83918962;AWgOV6m66sn1d-vrP_Zw;UNALLOCATED;07/01/2022 09:18;127337;9;1510;215600;235600;13720
7222580084;91311000;AWgRzZgMLieWGVhxlBKG;CANCELLED_DRIVER;07/01/2022 09:19;55243;9;1510;284300;304300;18092
4130607397;31493375;AWgRy3ponMVKL6mzncsG;COMPLETED;07/01/2022 09:24;107393;9;1510;118300;138300;7528
7938855925;84581531;5-C2JKJRBCAE4TAJ;COMPLETED;07/01/2022 09:26;126974;9;1510;302600;322600;19256
8545714062;64432110;AWgOV0Nz5b9pQDOtORmY;UNALLOCATED;07/01/2022 09:32;68112;9;1510;181300;201300;11537
2887110498;42845952;5-C2VDNFUYJPJ3JE;COMPLETED;07/01/2022 09:33;190287;70;9532;105000;136000;19091
3205669743;37790412;AWgRy-P-nMVKL6mzneUU;COMPLETED;07/01/2022 09:51;208996;9;1510;158000;178000;10055
3085526388;46989720;5-C2JKJRBCGBNWLN;COMPLETED;07/01/2022 09:52;72997;14;3490;209000;229000;13300
1390101232;83918962;5-C2JKJRBBVRC3AE;CANCELLED_DRIVER;07/01/2022 09:53;111340;14;3490;89000;109000;5664
4737678335;57628277;AWgRzE-pU0GQ11lNgBZV;COMPLETED;07/01/2022 10:24;48417;9;1510;402300;422300;25601
3848494959;89284768;5-C2JKJRBBVJXYJJ;COMPLETED;07/01/2022 10:27;132738;9;1510;187300;207300;11919
4953465731;80678125;5-C2JKJRBBVJXYJJ;UNALLOCATED;07/01/2022 13:05;44697;9;1510;229000;249000;14573
7368335675;64432110;AWgRzjthU0GQ11lNgTP7;COMPLETED;07/01/2022 14:03;50303;9;1510;460600;480600;29311
3931300094;78820081;5-C2JKJRBCGPKBL6;CANCELLED_DRIVER;07/01/2022 14:04;118075;9;1510;97300;117300;6192
1599653044;57431439;5-C2JKJRBBVJXYJJ;COMPLETED;07/01/2022 14:19;41092;9;1510;97300;117300;6192
